LightCondition,RoundNo.,ForestType,ForestNo.,ColSize,food_type,supplied_by,Trials,Time,No.Ants
Light,2,RubberForest,6,2094,termite,untreated,termite_untreated,30,4
Light,2,RubberForest,6,2094,termite,untreated,termite_untreated,40,4
Light,2,RubberForest,6,2094,termite,untreated,termite_untreated,50,3
Light,2,RubberForest,6,2094,termite,untreated,termite_untreated,60,0
Light,2,RubberForest,6,2094,tuna,untreated,tuna_untreated,10,3
Light,2,RubberForest,6,2094,tuna,untreated,tuna_untreated,20,4
Light,2,RubberForest,6,2094,tuna,untreated,tuna_untreated,30,2
Light,2,RubberForest,6,2094,tuna,untreated,tuna_untreated,40,3
Light,2,RubberForest,6,2094,tuna,untreated,tuna_untreated,50,4
Light,2,RubberForest,6,2094,tuna,untreated,tuna_untreated,60,4
Light,2,RubberForest,6,2094,termite,paper,termite_paper,10,8
Light,2,RubberForest,6,2094,termite,paper,termite_paper,20,10
Light,2,RubberForest,6,2094,termite,paper,termite_paper,30,9
Light,2,RubberForest,6,2094,termite,paper,termite_paper,40,17
Light,2,RubberForest,6,2094,termite,paper,termite_paper,50,15
Light,2,RubberForest,6,2094,termite,paper,termite_paper,60,9
Light,2,RubberForest,6,2094,tuna,paper,tuna_paper,10,8
Light,2,RubberForest,6,2094,tuna,paper,tuna_paper,20,6
Light,2,RubberForest,6,2094,tuna,paper,tuna_paper,30,5
Light,2,RubberForest,6,2094,tuna,paper,tuna_paper,40,2
Light,2,RubberForest,6,2094,tuna,paper,tuna_paper,50,1
Light,2,RubberForest,6,2094,tuna,paper,tuna_paper,60,5
