Condition,RoundNo.,ForestType,ForestNo.,ColSize,food_type,supplied_by,Trials,Time,No.Ants
Dark,1,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,30,3
Dark,1,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,40,4
Dark,1,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,50,8
Dark,1,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,60,7
Dark,1,RubberForest,6,2094,tuna,cube,tuna_cube,10,0
Dark,1,RubberForest,6,2094,tuna,cube,tuna_cube,20,0
Dark,1,RubberForest,6,2094,tuna,cube,tuna_cube,30,4
Dark,1,RubberForest,6,2094,tuna,cube,tuna_cube,40,6
Dark,1,RubberForest,6,2094,tuna,cube,tuna_cube,50,13
Dark,1,RubberForest,6,2094,tuna,cube,tuna_cube,60,8
Dark,1,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,10,0
Dark,1,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,20,1
Dark,1,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,30,2
Dark,1,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,40,2
Dark,1,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,50,2
Dark,1,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,60,1
